Zip_Code,Total_Mean,count,median_listing_price,month_date_yyyymm,FEMA_Impact,Post_Disaster,FEMA_Impact_Num
75852,13.25151420635386,1,62500,201701,Low Impact,0,0
75852,13.25151420635386,1,127500,201905,Low Impact,1,0
75852,13.25151420635386,1,702000,202509,Low Impact,1,0
75852,13.25151420635386,1,215000,202204,Low Impact,1,0
75852,13.25151420635386,1,177000,202506,Low Impact,1,0
75852,13.25151420635386,1,299900,202503,Low Impact,1,0
75852,13.25151420635386,1,142143,201903,Low Impact,1,0
75852,13.25151420635386,1,275000,202003,Low Impact,1,0
75852,13.25151420635386,1,702000,202507,Low Impact,1,0
75852,13.25151420635386,1,199750,201910,Low Impact,1,0
75852,13.25151420635386,1,107000,201709,Low Impact,1,0
75852,13.25151420635386,1,297000,202211,Low Impact,1,0
75852,13.25151420635386,1,430475,202502,Low Impact,1,0
75852,13.25151420635386,1,80000,201707,Low Impact,0,0
75852,13.25151420635386,1,1199000,202511,Low Impact,1,0
75852,13.25151420635386,1,185000,201906,Low Impact,1,0
75852,13.25151420635386,1,210000,201811,Low Impact,1,0
75852,13.25151420635386,1,159000,202309,Low Impact,1,0
75852,13.25151420635386,1,205000,202504,Low Impact,1,0
75852,13.25151420635386,1,335000,202208,Low Impact,1,0
75852,13.25151420635386,1,188705,201909,Low Impact,1,0
75852,13.25151420635386,1,247000,202301,Low Impact,1,0
75852,13.25151420635386,1,1199000,202512,Low Impact,1,0
75852,13.25151420635386,1,125000,202101,Low Impact,1,0
75852,13.25151420635386,1,172450,202401,Low Impact,1,0
75852,13.25151420635386,1,424450,202207,Low Impact,1,0
75852,13.25151420635386,1,247500,202004,Low Impact,1,0
75852,13.25151420635386,1,167500,201801,Low Impact,1,0
75852,13.25151420635386,1,192000,201907,Low Impact,1,0
75852,13.25151420635386,1,247500,202005,Low Impact,1,0
75852,13.25151420635386,1,167250,202308,Low Impact,1,0
75852,13.25151420635386,1,335000,202210,Low Impact,1,0
75852,13.25151420635386,1,162500,201804,Low Impact,1,0
75852,13.25151420635386,1,386950,202412,Low Impact,1,0
75852,13.25151420635386,1,394500,202411,Low Impact,1,0
75852,13.25151420635386,1,234950,201807,Low Impact,1,0
75852,13.25151420635386,1,171225,202310,Low Impact,1,0
75852,13.25151420635386,1,269000,202212,Low Impact,1,0
75852,13.25151420635386,1,175000,202311,Low Impact,1,0
75852,13.25151420635386,1,105000,201609,Low Impact,0,0
75852,13.25151420635386,1,90000,201612,Low Impact,0,0
75852,13.25151420635386,1,152000,202405,Low Impact,1,0
75852,13.25151420635386,1,275000,202001,Low Impact,1,0
75852,13.25151420635386,1,437975,202410,Low Impact,1,0
75852,13.25151420635386,1,260000,202303,Low Impact,1,0
75852,13.25151420635386,1,330000,201607,Low Impact,0,0
75852,13.25151420635386,1,115000,201712,Low Impact,1,0
75852,13.25151420635386,1,115000,202108,Low Impact,1,0
75852,13.25151420635386,1,155000,202402,Low Impact,1,0
